"","genre","time","word_count","sd","ave_sentiment"
"1","Country","1970s",2749,0.673235810606779,0.121466697156101
"2","Country","1980s",1524,0.87543320722819,-0.490657826967904
"3","Country","1990s",14083,0.764882195581753,0.0631911304513073
"4","Country","2000s",332225,0.777302830695066,0.21381594282616
"5","Country","2010s",113958,0.77299455853956,0.157150401369751
"6","Electronic","1970s",689,1.75604554367526,0.395333027067929
"7","Electronic","1980s",788,0.652556621148005,-0.214925833150034
"8","Electronic","1990s",3365,0.784966745934338,0.221244807125306
"9","Electronic","2000s",118553,0.984084468635211,0.0709810274375377
"10","Electronic","2010s",60164,1.09296219484991,0.0766495084335157
"11","Folk","1970s",919,0.434126276995527,0.368014123662835
"12","Folk","1990s",2058,1.18788874276295,-0.0408691054171153
"13","Folk","2000s",27903,0.833178367163723,0.0219067102251844
"14","Folk","2010s",10333,0.765151068736164,0.0370463496646034
"15","Hip-Hop",NA,254,0.149435984139975,1.24711899667821
"16","Hip-Hop","1980s",2420,0.468433893889615,-0.519827663886304
"17","Hip-Hop","1990s",40187,0.954247497327177,-0.236795341937268
"18","Hip-Hop","2000s",1296453,1.01680268276993,-0.476009490055336
"19","Hip-Hop","2010s",404595,1.08099889331403,-0.310806130150881
"20","Indie","2000s",34285,0.685232968271274,-0.0337813985807123
"21","Indie","2010s",44822,0.754795592443138,-0.0401465260648987
"22","Jazz","1970s",4695,0.733388113275037,0.524505091949853
"23","Jazz","1980s",5039,0.891213081952041,0.838229063792057
"24","Jazz","1990s",9405,0.902613822755146,0.522483506249136
"25","Jazz","2000s",141183,0.878926422841233,0.455197193195148
"26","Jazz","2010s",68081,0.818421139373589,0.457916461032565
"27","Metal","1980s",4776,0.701794068826364,-1.08144898256351
"28","Metal","1990s",14376,1.01808640775711,-0.516526832277246
"29","Metal","2000s",646311,0.903196422751646,-0.699276793078287
"30","Metal","2010s",166539,0.927372617676216,-0.784830974720797
"31","Not Available","1970s",5199,1.18597254481479,0.206081605629921
"32","Not Available","1980s",1168,1.38882195069903,0.621646313928178
"33","Not Available","1990s",11490,0.967297723111941,0.34974112961316
"34","Not Available","2000s",163107,0.934132020139547,0.231593371614894
"35","Not Available","2010s",60871,1.143982035918,-0.035966521645225
"36","Other","1970s",319,1.13333496488346,0.614714087483243
"37","Other","1980s",794,1.20099494209093,0.553083083137982
"38","Other","1990s",240,0.805254854893377,0.580726684491242
"39","Other","2000s",328,0.861913425753358,0.679709078654762
"40","Other","2010s",11078,0.909860197516951,-0.114978285277283
"41","Pop","1970s",9473,1.10367462248567,0.481171818781234
"42","Pop","1980s",15288,1.10649528758981,0.390408955703314
"43","Pop","1990s",30974,1.02382131751477,0.446705598782857
"44","Pop","2000s",892021,0.983632137512532,0.330991365706616
"45","Pop","2010s",457651,1.06011067344513,0.246329720104003
"46","R&B","1970s",4651,1.16670831669078,0.659481726092918
"47","R&B","1980s",4646,1.31942516856686,0.711826488503746
"48","R&B","1990s",10290,0.905326218455981,0.395923259157292
"49","R&B","2000s",96919,1.10214325470279,0.339969724464684
"50","R&B","2010s",33152,1.09897365279106,0.383405016991842
"51","Rock",NA,40,NA,-0.49805873147652
"52","Rock","1970s",52153,0.801345630255758,0.176385001188329
"53","Rock","1980s",43705,0.877314172655392,-0.0856628286435461
"54","Rock","1990s",176753,0.842154867462747,-0.00151055915912542
"55","Rock","2000s",3159001,0.836753278212424,-0.0560194429116567
"56","Rock","2010s",703535,0.927537084636218,-0.0592700855540314
